name,body,transmission,fuel
"Toyota Rush1.5 G AT

P1,100,000",SUV,Automatic,Gasoline
"Toyota Rush1.5 E AT

P1,008,000",SUV,Automatic,Gasoline
"BMW X2xDrive20d M Sport X

P4,390,000",SUV,Automatic,Diesel
"Ford Mustang2.3 EcoBoost Premium AT

P2,838,000",Coupe,Automatic,Gasoline
"Ford Mustang5.0 V8 GT Premium AT

P3,518,000",Coupe,Automatic,Gasoline
"Ford Mustang5.0 V8 GT Premium MT Convertible

P3,618,000",Convertible,Manual,Gasoline
"Ford Mustang5.0 V8 GT Premium AT Convertible

P3,718,000",Convertible,Automatic,Gasoline
"Porsche CayenneV6

Ask price",SUV,Automatic,Gasoline
"Porsche CayenneS

Ask price",SUV,Automatic,Gasoline
"Porsche CayenneTurbo

Ask price",SUV,Automatic,Gasoline
"Porsche CayenneDiesel

Ask price",SUV,Automatic,Diesel
"Ford Expedition3.5 Limited MAX 4WD

P4,258,000",SUV,Automatic,Gasoline
"Ford Expedition3.5 Limited MAX 4WD with Bucket Seats

P4,358,000",SUV,Automatic,Gasoline
"Hyundai VelosterTurbo 1.6 TGDi

P1,798,000",Wagon/Hatchback,,Gasoline
"Subaru Outback2.5 CVT

P2,178,000 Promo Available",SUV,Automatic,Gasoline
"Subaru Outback3.6R-S CVT w eyesight

P2,408,000 Promo Available",SUV,Automatic,Gasoline
"Hyundai Kona2.0 GLS AT

P1,118,000",SUV,Automatic,Gasoline
"Chevrolet Malibu2.0 AT LTZ

P2,131,888",Sedan,Automatic,Gasoline
"Isuzu MU-X2.5 LS 4x2 MT

P1,268,000 Promo Available",SUV,Automatic,Diesel
"Isuzu MU-X2.5 LS-A 4x2 MT

P1,378,000 Promo Available",SUV,Manual,Diesel
"Isuzu MU-XRZ4E LS 4x2 MT Blue Power

P1,300,000 Promo Available",SUV,Manual,Diesel
"Isuzu MU-X1.9 RZ4E LS-A 4x2 MT Blue Power

P1,570,000 Promo Available",SUV,Automatic,Diesel
"Isuzu MU-X3.0 LS-A 4x2 AT Blue Power

P1,795,000 Promo Available",SUV,Automatic,Diesel
"Isuzu MU-X3.0 LS-A 4x2 AT Blue Power Luxe

P1,845,000 Promo Available",SUV,Automatic,Diesel
"Isuzu MU-X3.0 LS-A 4x4 AT Blue Power

P2,145,000 Promo Available",SUV,Automatic,Diesel
"Isuzu MU-X1.9 RZ4E LS-A 4x2 AT Blue Power

P1,595,000 Promo Available",SUV,Automatic,Diesel
"Isuzu MU-XRZ4E LS 4x2 AT Blue Power

P1,300,000 Promo Available",SUV,Automatic,Diesel
"Mitsubishi FUSO CanterFE71 4-Wheeler Cab and Chassis

P1,405,000",Truck,Manual,Diesel
"Mitsubishi FUSO CanterCanter FE84 6-Wheeler Cab and Chassis

P1,561,000",Truck,Manual,Diesel
"Mitsubishi FUSO CanterFE85 6-Wheeler Cab and Chassis

P1,660,000",Truck,Manual,Diesel
"BMW X4XDrive20d M Sport

P4,890,000",SUV,Manual,Diesel
"Toyota Hilux2.4 Cab & Chassis 4x2 MT Diesel

P829,000",Pickup,Manual,Diesel
"Toyota Hilux2.4 J 4x2 MT Diesel

P939,000",Pickup,Manual,Diesel
"Toyota Hilux2.4 E 4x2 MT Diesel

P1,030,000",Pickup,Manual,Diesel
"Toyota Hilux2.4 G 4x2 MT Diesel

P1,204,000",Pickup,Manual,Diesel
"Toyota Hilux2.4 G 4x2 AT Diesel

P1,279,000",Pickup,Automatic,Diesel
"Toyota Hilux2.8 G 4x4 MT Diesel

P1,506,000",Pickup,Manual,Diesel
"Toyota Hilux2.8 G 4x4 AT Diesel

P1,636,000",Pickup,Automatic,Diesel
"Toyota HiluxConquest 2.4 G DSL 4x2 MT

P1,352,000",Pickup,Manual,Diesel
"Toyota HiluxConquest 2.4 G DSL 4x2 AT

P1,427,000",Pickup,Automatic,Diesel
"Toyota HiluxConquest 2.8 G DSL 4x4 MT

P1,662,000 Promo Available",Pickup,Automatic,Diesel
"Toyota HiluxConquest 2.8 G DSL 4x4 AT

P1,792,000",Pickup,Automatic,Diesel
"Toyota Hilux2.4 E DSL 4x4 MT Diesel

P1,186,000",Pickup,Manual,Diesel
"Peugeot Traveller2.0 AT

P3,440,000",Van,Automatic,Diesel
"Nissan Navara4x2 6-Speed MT

P919,000",Pickup,Manual,Diesel
"Nissan Navara4x2 MT Calibre

P979,000",Pickup,Manual,Diesel
"Nissan Navara4x2 EL Calibre MT

P1,079,000",Pickup,Manual,Diesel
"Nissan Navara4x2 EL Calibre AT

P1,139,000",Pickup,Automatic,Diesel
"Nissan Navara4x2 Calibre Sport Edition MT

P1,199,000",Pickup,Manual,Diesel
"Nissan Navara4x2 Calibre Sport Edition AT

P1,259,000",Pickup,Automatic,Diesel
