brand,model,transmission,fuel_type,Year of Manufacture,mileage_in_km,color,plate_no,price,location
Hyundai,Accent,Automatic,Gasoline,2017,25000,Sleek Silver,CS# MT0847 (WITHOUT PLATE),474000,Bacolod
Hyundai,Accent,Automatic,Gasoline,2017,45000,Crystal White,CS# MT3363 (WITHOUT PLATES),405000,QC
Hyundai,Accent,Automatic,Gasoline,2018,1000,Silver,CS# MV4435 (WITHOUT PLATES),612000,QC
Hyundai,Accent,Automatic,Gasoline,2018,9000,Phantom Black,CS# MU0438 (WITHOUT PLATES),480000,Taguig
Hyundai,Accent,Automatic,Gasoline,2018,12000,Phantom Black,CS# MU5158 (WITHOUT PLATES),591000,Fort Victoria
Hyundai,Accent,Automatic,Gasoline,2018,15000,Lake Silver,CS# MU3659 (WITHOUT PLATE),591000,Fort Victoria
Hyundai,Accent,Manual,Gasoline,2015,41000,Sleek Silver,ABH 2506,320000,QC
Hyundai,Accent,Manual,Gasoline,2016,35000,Crystal white,ADG 3186,331000,QC
Hyundai,Accent,Manual,Gasoline,2017,5000,Phantom Black,CS# MS8293 (WITHOUT PLATE),435000,QC
Hyundai,Accent,Manual,Gasoline,2017,9000,Phantom Black,CS# MR4034 (WITHOUT PLATE),418000,QC
Hyundai,Accent,Manual,Gasoline,2017,13000,Veloster Red,CS# MR9185 (WITHOUT PLATES),401000,QC
Hyundai,Accent,Manual,Gasoline,2017,17000,Crystal White,CS# MR1548 (WITHOUT PLATES),410000,QC
Hyundai,Accent,Automatic,Gasoline,2018,5000,Dazzling Blue,CS# MU0653 (WITHOUT PLATES),634000,QC
Hyundai,Accent,Automatic,Gasoline,2018,10000,Silver,CS# MT9741 (WITHOUT PLATES),596000,QC
Hyundai,Accent,Automatic,Gasoline,2018,15000,Crystal White,CS# MT9582 (WITHOUT PLATES),596000,QC
Hyundai,Accent,Automatic,Gasoline,2018,18000,Crystal White,CS# MT8788 (WITHOUT PLATES),586000,Panabo
Hyundai,Accent,Manual,Gasoline,2016,8000,Red,CS# MP5324 (WITHOUT PLATES),378000,Bacolod
Hyundai,Accent,Manual,Gasoline,2016,40000,Sonic Silver,ADO 8361 / CS# MR1078 (WITHOUT PLATES),373000,Panabo City
Hyundai,Accent,Manual,Gasoline,2017,6000,Veloster Red,CS# MT2958 (WITHOUT PLATES),401000,QC
Hyundai,Accent,Manual,Gasoline,2017,13000,Blue,CS# MS8680 (WITHOUT PLATES),401000,QC
Hyundai,Accent,Manual,Gasoline,2017,14000,Sleek Silver,CS# MT3136 (WITHOUT PLATES),394000,QC
Hyundai,Accent,Manual,Gasoline,2017,18000,Phantom Black,CS# MS8225 (WITHOUT PLATES),405000,QC
Hyundai,Accent,Manual,Gasoline,2017,18000,Phantom Black,CS# MT2720 (WITHOUT PLATES),399000,QC
Hyundai,Accent,Manual,Gasoline,2017,22000,Crystal White,CS# MT3053 (WITHOUT PLATES),426000,Bacolod
Hyundai,Accent,Manual,Gasoline,2017,25000,Dazzling Blue,CS# MS3040 (WITHOUT PLATES),358000,QC
Hyundai,Accent,Manual,Gasoline,2017,34000,Sonic Silver,CS# MR8061 (WITHOUT PLATES),341000,QC
Hyundai,Accent,Manual,Gasoline,2018,7000,Blue,CS# MU0421 (WITHOUT PLATES),564000,QC
Hyundai,Accent,Manual,Gasoline,2018,9000,Chalk White,CS# MV4143 (WITHOUT PLATES),437000,Bacolod
Hyundai,Accent,Manual,Gasoline,2018,14000,Sonic Silver,CS# MT6363 (WITHOUT PLATES),506000,Cebu
Hyundai,Accent,Manual,Gasoline,2018,18000,Silver,CS# MT8171 (WITHOUT PLATES),479000,QC
Hyundai,Accent,Manual,Gasoline,2018,21000,Veloster Red,CS# MT6471 (WITHOUT PLATES),458000,Panabo
Hyundai,Accent,Manual,Diesel,2016,389000,Crystal White,CS# ML8035 (WITHOUT PLATES),240000,QC
Hyundai,Accent,Manual,Gasoline,2017,19000,Phantom Black,CS# MT0358 (WITHOUT PLATES),426000,YMCA (Manila)
Hyundai,Accent,Manual,Gasoline,2017,23000,Sleek Silver,CS# MR9212 (WITHOUT PLATES),410000,QC
Hyundai,Accent,Manual,Gasoline,2017,26000,Veloster Red,CS# MS4155 (WITHOUT PLATE),388000,QC
Hyundai,Accent,Manual,Gasoline,2018,6000,Crystal White,CS# MT6596 (WITHOUT PLATES),447000,Bacolod
Hyundai,Accent,Manual,Gasoline,2018,7000,Veloster Red,CS# MT8248 (WITHOUT PLATES),469000,QC
Hyundai,Accent,Manual,Gasoline,2018,9000,Pulse Red,CS# MU2647 (WITHOUT PLATES),447000,Bacolod
Hyundai,Accent,Manual,Gasoline,2018,17000,Red,CS# MU5121 (WITHOUT PLATES),363000,QC
Hyundai,Accent,Manual,Gasoline,2018,19000,Phantom Black,CS# MT9998 (WITHOUT PLATES),474000,Cagayan De Oro
Hyundai,Accent,Manual,Diesel,2010,113000,White (actual) / Gray (PNCHM / OR)White (actual) / Gray (PNCHM / OR),PIN 580,188000,QC
Hyundai,Accent,Automatic,Diesel,2014,49000,Crystal White,AOA 1146,392000,Koronadal
Hyundai,Accent,Manual,Diesel,2014,76000,Crystal White,CS# MK6222 (WITHOUT PLATES),405000,Gen. Santos
Hyundai,Accent,Manual,Diesel,2014,132000,Crystal White,130108 (WITHOUT PLATES),277000,QC
Hyundai,Accent,Manual,Gasoline,2016,16000,Black,CS# MP5094 (WITHOUT PLATES),383000,QC
Hyundai,Accent,Manual,Gasoline,2017,40000,Gray,CS# MR9296 (WITHOUT PLATES)CS# MR9296 (WITHOUT PLATES),405000,QC
Hyundai,Accent,Manual,Gasoline,2018,13000,Silver,CS# MT8183 (WITHOUT PLATES),533000,Bacolod
Hyundai,Accent,Manual,Diesel,2014,,Crystal White,AWD 403 (WITHOUT PLATES),341000,Fort Victoria
Hyundai,Accent,Manual,Diesel,2018,8000,Silver,CS# MV6474 (WITHOUT PLATES),533000,QC
Hyundai,Elantra,Automatic,Gasoline,2016,32000,White,CS# MQ2148 (WITHOUT PLATES),554000,Bacolod
Hyundai,Elantra,Automatic,Gasoline,2017,21000,Blue,CS# MS7507 (WITHOUT PLATES),586000,Cagayan De Oro
Hyundai,Elantra,Automatic,Gasoline,2018,8000,Phantom Black,CS# MU3768 (WITHOUT PLATE),788000,QC
Hyundai,Accent,Manual,Diesel,2015,86000,Crystal White,ABC 3857 (WITHOUT PLATES),294000,Panabo
Hyundai,Accent,Automatic,Gasoline,2017,65000,Blue,CS# MR6911 (WITHOUT PLATES),358000,QC
Hyundai,Accent,Manual,Gasoline,2017,37000,Phantom Black,CS# MR3982 (WITHOUT PLATES),380000,Davao
Hyundai,Accent,Manual,Gasoline,2018,1000,Lake Silver,CS# K0 A238 (WITHOUT PLATES),458000,Panabo City
Hyundai,Accent,Automatic,Diesel,2016,106000,Phantom Black,CS# MP8425 (WITHOUT PLATES),442000,QC
Hyundai,Accent,Automatic,Diesel,2017,30000,Veloster Red,CAC 8544,554000,QC
Hyundai,Elantra,Automatic,Gasoline,2016,14000,White,CS# MQ2129 (WITHOUT PLATE),524000,QC
Hyundai,Elantra,Automatic,Gasoline,2017,7000,Blue,CS# MP6355 (WITHOUT PLATES),650000,Panabo City
Hyundai,Elantra,Automatic,Gasoline,2017,28000,Phantom Black,CS# MS0289 (WITHOUT PLATES),671000,Cagayan De Oro
Hyundai,Elantra,Automatic,Gasoline,2018,16000,Silver,CS# MT5164 (WITHOUT PLATES),783000,Panabo City
Hyundai,Elantra,Automatic,Gasoline,2018,20000,Fiery Red,1501-138123 (TEMPORARY / WITHOUT PLATES),714000,Gen. Santos
Hyundai,Elantra,Manual,Gasoline,2017,10000,Red,CS# MR6324 (WITHOUT PLATES),554000,Bacolod
Hyundai,Elantra,Manual,Gasoline,2018,6000,Blue,CS# MU5874 (WITHOUT PLATES),511000,QC
Hyundai,Elantra,Manual,Gasoline,2018,7000,Blue,CS# MV2261 (WITHOUT PLATES),522000,QC
Hyundai,Elantra,Manual,Gasoline,2013,43000,Sleek Silver,WQY 105,373000,YMCA (Manila)
Hyundai,Eon,Manual,Gasoline,2017,12000,Pristine Blue,CS# MR8007 (WITHOUT PLATES),277000,Cagayan De Oro
Hyundai,Eon,Manual,Gasoline,2018,6000,Red,CS# MU7232 (WITHOUT PLATES),373000,QC
Hyundai,Eon,Manual,Gasoline,2018,20000,White,CS# MV6116 (WITHOUT PLATES),261000,QC
Hyundai,Grand,Manual,Diesel,2017,6000,Creamy White,[SALE] CS# MS5353 (WITHOUT PLATES),1140000,QC
Hyundai,Grand,Manual,Diesel,2011,167000,Black,POV 637,501000,Taguig
Hyundai,Elantra,Manual,Gasoline,2016,12000,Polar White,CS# MQ2304 (WITHOUT PLATES),388000,Cagayan De Oro
Hyundai,Elantra,Manual,Gasoline,2017,16000,Fiery Red,CS# MR6326 (WITHOUT PLATE),563000,Panabo
Hyundai,Elantra,Manual,Gasoline,2018,6000,White,CS# MU5980 (WITHOUT PLATES),692000,QC
Hyundai,Elantra,Manual,Gasoline,2018,8000,Silver,CS# MU5937 (WITHOUT PLATES),692000,QC
Hyundai,Eon,Manual,Gasoline,2016,36000,Blue,CS# MQ9298 (WITHOUT PLATES),219000,Panabo City
Hyundai,Eon,Manual,Gasoline,2017,13000,Sleek Silver,CS# MS6278 (WITHOUT PLATES),341000,Panabo City
Hyundai,Eon,Manual,Gasoline,2018,11000,White,CS# MU6848 (WITHOUT PLATES),267000,Cagayan De Oro
